date,cars
07/01/2002,15414
07/02/2002,15360
07/03/2002,14967
07/04/2002,15928
07/05/2002,16727
07/06/2002,17016
07/07/2002,16564
07/08/2002,16898
07/09/2002,16642
07/10/2002,16652
07/11/2002,17350
07/12/2002,19000
07/13/2002,17411
07/14/2002,16112
07/15/2002,15722
07/16/2002,15605
07/17/2002,14974
07/18/2002,17653
07/19/2002,18847
07/20/2002,18846
07/21/2002,14234
07/22/2002,15405
07/23/2002,16668
07/24/2002,15620
07/25/2002,15936
07/26/2002,16381
07/27/2002,17064
07/28/2002,15071
07/29/2002,15650
07/30/2002,15200
07/31/2002,15929
08/01/2002,12953
08/02/2002,16137
08/03/2002,14060
08/04/2002,12892
08/05/2002,14877
08/06/2002,14849
08/07/2002,15147
08/08/2002,15454
08/09/2002,15055
08/10/2002,14136
08/11/2002,11574
08/12/2002,15032
08/13/2002,16990
08/14/2002,16877
08/15/2002,17504
08/16/2002,16787
08/17/2002,16855
08/18/2002,16136
08/19/2002,15209
08/20/2002,15184
08/21/2002,15852
08/22/2002,15989
08/23/2002,16675
08/24/2002,16638
08/25/2002,15187
08/26/2002,14046
08/27/2002,14781
08/28/2002,15030
08/29/2002,14803
08/30/2002,15833
08/31/2002,15961
09/01/2002,12729
09/02/2002,13565
09/03/2002,14123
09/04/2002,14333
09/05/2002,14257
09/06/2002,15182
09/07/2002,14930
09/08/2002,13350
09/09/2002,12862
09/10/2002,14145
09/11/2002,14112
09/12/2002,13832
09/13/2002,14758
09/14/2002,14820
09/15/2002,13640
09/16/2002,11986
09/17/2002,14290
09/18/2002,13976
09/19/2002,13748
09/20/2002,14838
09/21/2002,14411
09/22/2002,10956
09/23/2002,12696
09/24/2002,13549
09/25/2002,14089
09/26/2002,13694
09/27/2002,15073
09/28/2002,16096
09/29/2002,13237
09/30/2002,13840
10/01/2002,14180
10/02/2002,14362
10/03/2002,14420
10/04/2002,14777
10/05/2002,14786
10/06/2002,10365
10/07/2002,13122
10/08/2002,17078
10/09/2002,15058
10/10/2002,13434
10/11/2002,14185
10/12/2002,14119
10/13/2002,12749
10/14/2002,11928
10/15/2002,13051
10/16/2002,14081
10/17/2002,12371
10/18/2002,13252
10/19/2002,13480
10/20/2002,11973
10/21/2002,14184
10/22/2002,12842
10/23/2002,12524
