date,cars
2002-01-01,9875
2002-01-02,13492
2002-01-03,12007
2002-01-04,12801
2002-01-05,12854
2002-01-06,10052
2002-01-07,11334
2002-01-08,11897
2002-01-09,12198
2002-01-10,11807
2002-01-11,13540
2002-01-12,12711
2002-01-13,11676
2002-01-14,11489
2002-01-15,12286
2002-01-16,11578
2002-01-17,12096
2002-01-18,13985
2002-01-19,13423
2002-01-20,12722
2002-01-21,12165
2002-01-22,11947
2002-01-23,12094
2002-01-24,11642
2002-01-25,13996
2002-01-26,14107
2002-01-27,9894
2002-01-28,12198
2002-01-29,12754
2002-01-30,13209
2002-01-31,12781
2002-02-01,14704
2002-02-02,15392
2002-02-03,14283
2002-02-04,12547
2002-02-05,12681
2002-02-06,12309
2002-02-07,13149
2002-02-08,14511
2002-02-09,17170
2002-02-10,10186
2002-02-11,12804
2002-02-12,13530
2002-02-13,14050
2002-02-14,13723
2002-02-15,20727
2002-02-16,17380
2002-02-17,13213
2002-02-18,13918
2002-02-19,12620
2002-02-20,14955
2002-02-21,15697
2002-02-22,15692
2002-02-23,14379
2002-02-24,10477
2002-02-25,13872
2002-02-26,14240
2002-02-27,14940
2002-02-28,13593
2002-03-01,14589
2002-03-02,13561
2002-03-03,12982
2002-03-04,15709
2002-03-05,18014
2002-03-06,15571
2002-03-07,13716
2002-03-08,17998
2002-03-09,16475
2002-03-10,17412
2002-03-11,16381
2002-03-12,13950
2002-03-13,14528
2002-03-14,13869
2002-03-15,14417
2002-03-16,15886
2002-03-17,14565
2002-03-18,13028
2002-03-19,14405
2002-03-20,13433
2002-03-21,13857
2002-03-22,14598
2002-03-23,17687
2002-03-24,13694
2002-03-25,13601
2002-03-26,14462
2002-03-27,15024
2002-03-28,17280
2002-03-29,15366
2002-03-30,15511
2002-03-31,13802
2002-04-01,14866
2002-04-02,14489
2002-04-03,14997
2002-04-04,15301
2002-04-05,15783
2002-04-06,15433
2002-04-07,11813
2002-04-08,13015
2002-04-09,14412
2002-04-10,14564
2002-04-11,14323
2002-04-12,15795
2002-04-13,14684
2002-04-14,9897
2002-04-15,13084
2002-04-16,13865
2002-04-17,14204
2002-04-18,13913
2002-04-19,15179
2002-04-20,15029
2002-04-21,14581
2002-04-22,13685
2002-04-23,15156
2002-04-24,14926
2002-04-25,14964
2002-04-26,15047
2002-04-27,16416
2002-04-28,12965
2002-04-29,13311
2002-04-30,14890
2002-05-01,14227
2002-05-02,13237
2002-05-03,14835
2002-05-04,13456
2002-05-05,11342
2002-05-06,13531
2002-05-07,14412
2002-05-08,15463
2002-05-09,14031
2002-05-10,16157
2002-05-11,15229
2002-05-12,11722
2002-05-13,13618
2002-05-14,14567
2002-05-15,14736
2002-05-16,14917
2002-05-17,16431
2002-05-18,14692
2002-05-19,14065
2002-05-20,15052
2002-05-21,14469
2002-05-22,14373
2002-05-23,13580
2002-05-24,15562
2002-05-25,14668
2002-05-26,13360
2002-05-27,12722
2002-05-28,14861
2002-05-29,14556
2002-05-30,17499
2002-05-31,16406
2002-06-01,48
2002-06-02,48
2002-06-03,48
2002-06-04,48
2002-06-05,48
2002-06-06,48
2002-06-07,48
2002-06-08,48
2002-06-09,48
2002-06-10,48
2002-06-11,48
2002-06-12,48
2002-06-13,48
2002-06-14,48
2002-06-15,48
2002-06-16,48
2002-06-17,48
2002-06-18,48
2002-06-19,48
2002-06-20,48
2002-06-21,48
2002-06-22,48
2002-06-23,48
2002-06-24,48
2002-06-25,48
2002-06-26,48
2002-06-27,48
2002-06-28,48
2002-06-29,48
2002-06-30,48
2002-07-01,15414
2002-07-02,15360
2002-07-03,14967
2002-07-04,15928
2002-07-05,16727
2002-07-06,17016
2002-07-07,16564
